anio,sexo,entidad,casos_proteccion_atendidos,fecha
2021,hombre,Campeche,,2021-01-01
2021,mujer,Campeche,,2021-01-01
2022,hombre,Campeche,1.0,2022-01-01
2022,mujer,Campeche,,2022-01-01
2023,hombre,Campeche,1.0,2023-01-01
2023,mujer,Campeche,,2023-01-01
2024,hombre,Campeche,,2024-01-01
2024,mujer,Campeche,,2024-01-01
2025,hombre,Campeche,,2025-01-01
2025,mujer,Campeche,,2025-01-01
2010,hombre,Chiapas,1.0,2010-01-01
2010,mujer,Chiapas,0.0,2010-01-01
2011,hombre,Chiapas,1.0,2011-01-01
2011,mujer,Chiapas,0.0,2011-01-01
2012,hombre,Chiapas,2.0,2012-01-01
2012,mujer,Chiapas,1.0,2012-01-01
2013,hombre,Chiapas,3.0,2013-01-01
2013,mujer,Chiapas,0.0,2013-01-01
2014,hombre,Chiapas,2.0,2014-01-01
2014,mujer,Chiapas,1.0,2014-01-01
2015,hombre,Chiapas,3.0,2015-01-01
2015,mujer,Chiapas,1.0,2015-01-01
2016,hombre,Chiapas,0.0,2016-01-01
2016,mujer,Chiapas,2.0,2016-01-01
2017,hombre,Chiapas,1.0,2017-01-01
2017,mujer,Chiapas,0.0,2017-01-01
2018,hombre,Chiapas,5.0,2018-01-01
2018,mujer,Chiapas,3.0,2018-01-01
2019,hombre,Chiapas,5.0,2019-01-01
2019,mujer,Chiapas,1.0,2019-01-01
2020,hombre,Chiapas,2.0,2020-01-01
2020,mujer,Chiapas,1.0,2020-01-01
2021,hombre,Chiapas,3.0,2021-01-01
2021,mujer,Chiapas,,2021-01-01
2022,hombre,Chiapas,5.0,2022-01-01
2022,mujer,Chiapas,,2022-01-01
2023,hombre,Chiapas,1.0,2023-01-01
2023,mujer,Chiapas,,2023-01-01
2024,hombre,Chiapas,3.0,2024-01-01
2024,mujer,Chiapas,,2024-01-01
2025,hombre,Chiapas,1.0,2025-01-01
2025,mujer,Chiapas,,2025-01-01
2010,hombre,Chihuahua,,2010-01-01
2010,mujer,Chihuahua,,2010-01-01
2011,hombre,Chihuahua,,2011-01-01
2011,mujer,Chihuahua,,2011-01-01
2012,hombre,Chihuahua,2.0,2012-01-01
2012,mujer,Chihuahua,1.0,2012-01-01
2013,hombre,Chihuahua,1.0,2013-01-01
2013,mujer,Chihuahua,1.0,2013-01-01
2014,hombre,Chihuahua,1.0,2014-01-01
2014,mujer,Chihuahua,0.0,2014-01-01
2015,hombre,Chihuahua,,2015-01-01
2015,mujer,Chihuahua,,2015-01-01
2016,hombre,Chihuahua,3.0,2016-01-01
2016,mujer,Chihuahua,0.0,2016-01-01
2017,hombre,Chihuahua,,2017-01-01
2017,mujer,Chihuahua,,2017-01-01
2018,hombre,Chihuahua,,2018-01-01
2018,mujer,Chihuahua,,2018-01-01
2019,hombre,Chihuahua,,2019-01-01
2019,mujer,Chihuahua,,2019-01-01
2020,hombre,Chihuahua,1.0,2020-01-01
2020,mujer,Chihuahua,,2020-01-01
2021,hombre,Chihuahua,3.0,2021-01-01
2021,mujer,Chihuahua,,2021-01-01
2022,hombre,Chihuahua,4.0,2022-01-01
