anio,sexo,entidad,casos_proteccion_atendidos,fecha
2019,hombre,Nayarit,,2019-01-01
2019,mujer,Nayarit,,2019-01-01
2020,hombre,Nayarit,1.0,2020-01-01
2020,mujer,Nayarit,,2020-01-01
2021,hombre,Nayarit,,2021-01-01
2021,mujer,Nayarit,,2021-01-01
2022,hombre,Nayarit,1.0,2022-01-01
2022,mujer,Nayarit,,2022-01-01
2023,hombre,Nayarit,1.0,2023-01-01
2023,mujer,Nayarit,1.0,2023-01-01
2024,hombre,Nayarit,,2024-01-01
2024,mujer,Nayarit,,2024-01-01
2025,hombre,Nayarit,,2025-01-01
2025,mujer,Nayarit,,2025-01-01
2010,hombre,Nuevo León,1.0,2010-01-01
2010,mujer,Nuevo León,1.0,2010-01-01
2011,hombre,Nuevo León,2.0,2011-01-01
2011,mujer,Nuevo León,0.0,2011-01-01
2012,hombre,Nuevo León,0.0,2012-01-01
2012,mujer,Nuevo León,1.0,2012-01-01
2013,hombre,Nuevo León,,2013-01-01
2013,mujer,Nuevo León,,2013-01-01
2014,hombre,Nuevo León,1.0,2014-01-01
2014,mujer,Nuevo León,1.0,2014-01-01
2015,hombre,Nuevo León,1.0,2015-01-01
2015,mujer,Nuevo León,0.0,2015-01-01
2016,hombre,Nuevo León,,2016-01-01
2016,mujer,Nuevo León,,2016-01-01
2017,hombre,Nuevo León,2.0,2017-01-01
2017,mujer,Nuevo León,1.0,2017-01-01
2018,hombre,Nuevo León,1.0,2018-01-01
2018,mujer,Nuevo León,0.0,2018-01-01
2019,hombre,Nuevo León,1.0,2019-01-01
2019,mujer,Nuevo León,1.0,2019-01-01
2020,hombre,Nuevo León,1.0,2020-01-01
2020,mujer,Nuevo León,,2020-01-01
2021,hombre,Nuevo León,2.0,2021-01-01
2021,mujer,Nuevo León,,2021-01-01
2022,hombre,Nuevo León,1.0,2022-01-01
2022,mujer,Nuevo León,,2022-01-01
2023,hombre,Nuevo León,,2023-01-01
2023,mujer,Nuevo León,1.0,2023-01-01
2024,hombre,Nuevo León,1.0,2024-01-01
2024,mujer,Nuevo León,,2024-01-01
2025,hombre,Nuevo León,,2025-01-01
2025,mujer,Nuevo León,,2025-01-01
2010,hombre,Oaxaca,1.0,2010-01-01
2010,mujer,Oaxaca,0.0,2010-01-01
2011,hombre,Oaxaca,,2011-01-01
2011,mujer,Oaxaca,,2011-01-01
2012,hombre,Oaxaca,,2012-01-01
2012,mujer,Oaxaca,,2012-01-01
2013,hombre,Oaxaca,2.0,2013-01-01
2013,mujer,Oaxaca,0.0,2013-01-01
2014,hombre,Oaxaca,0.0,2014-01-01
2014,mujer,Oaxaca,1.0,2014-01-01
2015,hombre,Oaxaca,,2015-01-01
2015,mujer,Oaxaca,,2015-01-01
2016,hombre,Oaxaca,,2016-01-01
2016,mujer,Oaxaca,,2016-01-01
2017,hombre,Oaxaca,2.0,2017-01-01
2017,mujer,Oaxaca,1.0,2017-01-01
2018,hombre,Oaxaca,0.0,2018-01-01
2018,mujer,Oaxaca,1.0,2018-01-01
2019,hombre,Oaxaca,3.0,2019-01-01
2019,mujer,Oaxaca,0.0,2019-01-01
2020,hombre,Oaxaca,1.0,2020-01-01
2020,mujer,Oaxaca,,2020-01-01
2021,hombre,Oaxaca,1.0,2021-01-01
2021,mujer,Oaxaca,1.0,2021-01-01
2022,hombre,Oaxaca,1.0,2022-01-01
2022,mujer,Oaxaca,1.0,2022-01-01
2023,hombre,Oaxaca,1.0,2023-01-01
2023,mujer,Oaxaca,,2023-01-01
2024,hombre,Oaxaca,1.0,2024-01-01
2024,mujer,Oaxaca,,2024-01-01
2025,hombre,Oaxaca,,2025-01-01
2025,mujer,Oaxaca,,2025-01-01
2010,hombre,Puebla,,2010-01-01
2010,mujer,Puebla,,2010-01-01
2011,hombre,Puebla,2.0,2011-01-01
2011,mujer,Puebla,0.0,2011-01-01
2012,hombre,Puebla,,2012-01-01
2012,mujer,Puebla,,2012-01-01
2013,hombre,Puebla,0.0,2013-01-01
2013,mujer,Puebla,1.0,2013-01-01
2014,hombre,Puebla,1.0,2014-01-01
2014,mujer,Puebla,0.0,2014-01-01
2015,hombre,Puebla,2.0,2015-01-01
2015,mujer,Puebla,1.0,2015-01-01
2016,hombre,Puebla,0.0,2016-01-01
2016,mujer,Puebla,1.0,2016-01-01
2017,hombre,Puebla,,2017-01-01
2017,mujer,Puebla,,2017-01-01
2018,hombre,Puebla,3.0,2018-01-01
2018,mujer,Puebla,1.0,2018-01-01
2019,hombre,Puebla,1.0,2019-01-01
2019,mujer,Puebla,0.0,2019-01-01
2020,hombre,Puebla,2.0,2020-01-01
2020,mujer,Puebla,,2020-01-01
2021,hombre,Puebla,2.0,2021-01-01
2021,mujer,Puebla,,2021-01-01
2022,hombre,Puebla,3.0,2022-01-01
2022,mujer,Puebla,,2022-01-01
2023,hombre,Puebla,3.0,2023-01-01
2023,mujer,Puebla,,2023-01-01
2024,hombre,Puebla,1.0,2024-01-01
2024,mujer,Puebla,1.0,2024-01-01
2025,hombre,Puebla,2.0,2025-01-01
2025,mujer,Puebla,,2025-01-01
2010,hombre,Querétaro,,2010-01-01
2010,mujer,Querétaro,,2010-01-01
2011,hombre,Querétaro,,2011-01-01
2011,mujer,Querétaro,,2011-01-01
2012,hombre,Querétaro,,2012-01-01
2012,mujer,Querétaro,,2012-01-01
2013,hombre,Querétaro,,2013-01-01
2013,mujer,Querétaro,,2013-01-01
2014,hombre,Querétaro,,2014-01-01
2014,mujer,Querétaro,,2014-01-01
2015,hombre,Querétaro,,2015-01-01
2015,mujer,Querétaro,,2015-01-01
2016,hombre,Querétaro,2.0,2016-01-01
2016,mujer,Querétaro,0.0,2016-01-01
2017,hombre,Querétaro,1.0,2017-01-01
2017,mujer,Querétaro,1.0,2017-01-01
2018,hombre,Querétaro,1.0,2018-01-01
2018,mujer,Querétaro,1.0,2018-01-01
2019,hombre,Querétaro,2.0,2019-01-01
2019,mujer,Querétaro,0.0,2019-01-01
2020,hombre,Querétaro,,2020-01-01
2020,mujer,Querétaro,,2020-01-01
2021,hombre,Querétaro,,2021-01-01
2021,mujer,Querétaro,1.0,2021-01-01
2022,hombre,Querétaro,1.0,2022-01-01
2022,mujer,Querétaro,,2022-01-01
2023,hombre,Querétaro,1.0,2023-01-01
2023,mujer,Querétaro,,2023-01-01
2024,hombre,Querétaro,1.0,2024-01-01
2024,mujer,Querétaro,,2024-01-01
2025,hombre,Querétaro,,2025-01-01
2025,mujer,Querétaro,,2025-01-01
2010,hombre,Quintana Roo,1.0,2010-01-01
2010,mujer,Quintana Roo,0.0,2010-01-01
2011,hombre,Quintana Roo,1.0,2011-01-01
2011,mujer,Quintana Roo,0.0,2011-01-01
2012,hombre,Quintana Roo,,2012-01-01
2012,mujer,Quintana Roo,,2012-01-01
2013,hombre,Quintana Roo,0.0,2013-01-01
2013,mujer,Quintana Roo,1.0,2013-01-01
2014,hombre,Quintana Roo,,2014-01-01
2014,mujer,Quintana Roo,,2014-01-01
2015,hombre,Quintana Roo,1.0,2015-01-01
2015,mujer,Quintana Roo,0.0,2015-01-01
2016,hombre,Quintana Roo,,2016-01-01
2016,mujer,Quintana Roo,,2016-01-01
2017,hombre,Quintana Roo,0.0,2017-01-01
2017,mujer,Quintana Roo,1.0,2017-01-01
2018,hombre,Quintana Roo,,2018-01-01
2018,mujer,Quintana Roo,,2018-01-01
2019,hombre,Quintana Roo,1.0,2019-01-01
2019,mujer,Quintana Roo,0.0,2019-01-01
2020,hombre,Quintana Roo,,2020-01-01
2020,mujer,Quintana Roo,,2020-01-01
2021,hombre,Quintana Roo,,2021-01-01
2021,mujer,Quintana Roo,,2021-01-01
2022,hombre,Quintana Roo,,2022-01-01
2022,mujer,Quintana Roo,,2022-01-01
2023,hombre,Quintana Roo,,2023-01-01
2023,mujer,Quintana Roo,,2023-01-01
2024,hombre,Quintana Roo,1.0,2024-01-01
2024,mujer,Quintana Roo,,2024-01-01
2025,hombre,Quintana Roo,,2025-01-01
2025,mujer,Quintana Roo,,2025-01-01
2010,hombre,San Luis Potosí,,2010-01-01
2010,mujer,San Luis Potosí,,2010-01-01
2011,hombre,San Luis Potosí,3.0,2011-01-01
2011,mujer,San Luis Potosí,0.0,2011-01-01
2012,hombre,San Luis Potosí,2.0,2012-01-01
2012,mujer,San Luis Potosí,0.0,2012-01-01
2013,hombre,San Luis Potosí,,2013-01-01
2013,mujer,San Luis Potosí,,2013-01-01
2014,hombre,San Luis Potosí,,2014-01-01
2014,mujer,San Luis Potosí,,2014-01-01
2015,hombre,San Luis Potosí,,2015-01-01
2015,mujer,San Luis Potosí,,2015-01-01
2016,hombre,San Luis Potosí,0.0,2016-01-01
2016,mujer,San Luis Potosí,1.0,2016-01-01
2017,hombre,San Luis Potosí,1.0,2017-01-01
2017,mujer,San Luis Potosí,0.0,2017-01-01
2018,hombre,San Luis Potosí,2.0,2018-01-01
2018,mujer,San Luis Potosí,0.0,2018-01-01
2019,hombre,San Luis Potosí,,2019-01-01
2019,mujer,San Luis Potosí,,2019-01-01
2020,hombre,San Luis Potosí,1.0,2020-01-01
2020,mujer,San Luis Potosí,,2020-01-01
2021,hombre,San Luis Potosí,,2021-01-01
2021,mujer,San Luis Potosí,,2021-01-01
2022,hombre,San Luis Potosí,,2022-01-01
2022,mujer,San Luis Potosí,,2022-01-01
2023,hombre,San Luis Potosí,1.0,2023-01-01
2023,mujer,San Luis Potosí,,2023-01-01
2024,hombre,San Luis Potosí,1.0,2024-01-01
2024,mujer,San Luis Potosí,,2024-01-01
2025,hombre,San Luis Potosí,,2025-01-01
2025,mujer,San Luis Potosí,,2025-01-01
2010,hombre,Sinaloa,1.0,2010-01-01
2010,mujer,Sinaloa,0.0,2010-01-01
2011,hombre,Sinaloa,2.0,2011-01-01
2011,mujer,Sinaloa,0.0,2011-01-01
2012,hombre,Sinaloa,2.0,2012-01-01
2012,mujer,Sinaloa,0.0,2012-01-01
2013,hombre,Sinaloa,3.0,2013-01-01
2013,mujer,Sinaloa,0.0,2013-01-01
2014,hombre,Sinaloa,2.0,2014-01-01
2014,mujer,Sinaloa,0.0,2014-01-01
2015,hombre,Sinaloa,,2015-01-01
2015,mujer,Sinaloa,,2015-01-01
2016,hombre,Sinaloa,,2016-01-01
2016,mujer,Sinaloa,,2016-01-01
2017,hombre,Sinaloa,,2017-01-01
2017,mujer,Sinaloa,,2017-01-01
2018,hombre,Sinaloa,2.0,2018-01-01
2018,mujer,Sinaloa,0.0,2018-01-01
2019,hombre,Sinaloa,5.0,2019-01-01
2019,mujer,Sinaloa,1.0,2019-01-01
2020,hombre,Sinaloa,1.0,2020-01-01
2020,mujer,Sinaloa,,2020-01-01
2021,hombre,Sinaloa,1.0,2021-01-01
2021,mujer,Sinaloa,1.0,2021-01-01
2022,hombre,Sinaloa,2.0,2022-01-01
2022,mujer,Sinaloa,1.0,2022-01-01
2023,hombre,Sinaloa,4.0,2023-01-01
2023,mujer,Sinaloa,,2023-01-01
2024,hombre,Sinaloa,,2024-01-01
2024,mujer,Sinaloa,2.0,2024-01-01
2025,hombre,Sinaloa,,2025-01-01
2025,mujer,Sinaloa,,2025-01-01
2010,hombre,Sonora,,2010-01-01
2010,mujer,Sonora,,2010-01-01
2011,hombre,Sonora,,2011-01-01
2011,mujer,Sonora,,2011-01-01
2012,hombre,Sonora,1.0,2012-01-01
2012,mujer,Sonora,0.0,2012-01-01
2013,hombre,Sonora,2.0,2013-01-01
2013,mujer,Sonora,0.0,2013-01-01
2014,hombre,Sonora,,2014-01-01
2014,mujer,Sonora,,2014-01-01
2015,hombre,Sonora,1.0,2015-01-01
2015,mujer,Sonora,0.0,2015-01-01
2016,hombre,Sonora,,2016-01-01
2016,mujer,Sonora,,2016-01-01
2017,hombre,Sonora,1.0,2017-01-01
2017,mujer,Sonora,0.0,2017-01-01
2018,hombre,Sonora,2.0,2018-01-01
2018,mujer,Sonora,0.0,2018-01-01
2019,hombre,Sonora,,2019-01-01
2019,mujer,Sonora,,2019-01-01
2020,hombre,Sonora,1.0,2020-01-01
2020,mujer,Sonora,,2020-01-01
2021,hombre,Sonora,,2021-01-01
2021,mujer,Sonora,,2021-01-01
2022,hombre,Sonora,1.0,2022-01-01
2022,mujer,Sonora,,2022-01-01
2023,hombre,Sonora,2.0,2023-01-01
2023,mujer,Sonora,,2023-01-01
2024,hombre,Sonora,,2024-01-01
2024,mujer,Sonora,,2024-01-01
2025,hombre,Sonora,,2025-01-01
2025,mujer,Sonora,,2025-01-01
2010,hombre,Tabasco,1.0,2010-01-01
2010,mujer,Tabasco,0.0,2010-01-01
2011,hombre,Tabasco,,2011-01-01
2011,mujer,Tabasco,,2011-01-01
2012,hombre,Tabasco,2.0,2012-01-01
2012,mujer,Tabasco,0.0,2012-01-01
2013,hombre,Tabasco,1.0,2013-01-01
2013,mujer,Tabasco,0.0,2013-01-01
2014,hombre,Tabasco,,2014-01-01
2014,mujer,Tabasco,,2014-01-01
2015,hombre,Tabasco,,2015-01-01
2015,mujer,Tabasco,,2015-01-01
2016,hombre,Tabasco,0.0,2016-01-01
2016,mujer,Tabasco,1.0,2016-01-01
2017,hombre,Tabasco,,2017-01-01
2017,mujer,Tabasco,,2017-01-01
2018,hombre,Tabasco,2.0,2018-01-01
2018,mujer,Tabasco,1.0,2018-01-01
2019,hombre,Tabasco,,2019-01-01
2019,mujer,Tabasco,,2019-01-01
2020,hombre,Tabasco,1.0,2020-01-01
2020,mujer,Tabasco,,2020-01-01
2021,hombre,Tabasco,,2021-01-01
2021,mujer,Tabasco,,2021-01-01
2022,hombre,Tabasco,,2022-01-01
2022,mujer,Tabasco,,2022-01-01
2023,hombre,Tabasco,1.0,2023-01-01
2023,mujer,Tabasco,,2023-01-01
2024,hombre,Tabasco,1.0,2024-01-01
2024,mujer,Tabasco,,2024-01-01
2025,hombre,Tabasco,1.0,2025-01-01
2025,mujer,Tabasco,,2025-01-01
2010,hombre,Tamaulipas,2.0,2010-01-01
2010,mujer,Tamaulipas,0.0,2010-01-01
2011,hombre,Tamaulipas,,2011-01-01
2011,mujer,Tamaulipas,,2011-01-01
2012,hombre,Tamaulipas,1.0,2012-01-01
2012,mujer,Tamaulipas,0.0,2012-01-01
2013,hombre,Tamaulipas,1.0,2013-01-01
2013,mujer,Tamaulipas,0.0,2013-01-01
2014,hombre,Tamaulipas,,2014-01-01
2014,mujer,Tamaulipas,,2014-01-01
2015,hombre,Tamaulipas,3.0,2015-01-01
2015,mujer,Tamaulipas,0.0,2015-01-01
2016,hombre,Tamaulipas,,2016-01-01
2016,mujer,Tamaulipas,,2016-01-01
2017,hombre,Tamaulipas,,2017-01-01
2017,mujer,Tamaulipas,,2017-01-01
2018,hombre,Tamaulipas,1.0,2018-01-01
2018,mujer,Tamaulipas,0.0,2018-01-01
2019,hombre,Tamaulipas,1.0,2019-01-01
2019,mujer,Tamaulipas,1.0,2019-01-01
2020,hombre,Tamaulipas,1.0,2020-01-01
2020,mujer,Tamaulipas,,2020-01-01
2021,hombre,Tamaulipas,1.0,2021-01-01
2021,mujer,Tamaulipas,,2021-01-01
2022,hombre,Tamaulipas,3.0,2022-01-01
2022,mujer,Tamaulipas,,2022-01-01
2023,hombre,Tamaulipas,1.0,2023-01-01
2023,mujer,Tamaulipas,,2023-01-01
2024,hombre,Tamaulipas,1.0,2024-01-01
2024,mujer,Tamaulipas,,2024-01-01
2025,hombre,Tamaulipas,,2025-01-01
2025,mujer,Tamaulipas,,2025-01-01
2010,hombre,Tlaxcala,1.0,2010-01-01
2010,mujer,Tlaxcala,0.0,2010-01-01
2011,hombre,Tlaxcala,,2011-01-01
2011,mujer,Tlaxcala,,2011-01-01
2012,hombre,Tlaxcala,1.0,2012-01-01
2012,mujer,Tlaxcala,0.0,2012-01-01
2013,hombre,Tlaxcala,1.0,2013-01-01
2013,mujer,Tlaxcala,0.0,2013-01-01
2014,hombre,Tlaxcala,,2014-01-01
2014,mujer,Tlaxcala,,2014-01-01
2015,hombre,Tlaxcala,,2015-01-01
2015,mujer,Tlaxcala,,2015-01-01
2016,hombre,Tlaxcala,2.0,2016-01-01
2016,mujer,Tlaxcala,0.0,2016-01-01
2017,hombre,Tlaxcala,2.0,2017-01-01
2017,mujer,Tlaxcala,0.0,2017-01-01
2018,hombre,Tlaxcala,1.0,2018-01-01
2018,mujer,Tlaxcala,0.0,2018-01-01
2019,hombre,Tlaxcala,1.0,2019-01-01
2019,mujer,Tlaxcala,0.0,2019-01-01
2020,hombre,Tlaxcala,,2020-01-01
2020,mujer,Tlaxcala,,2020-01-01
2021,hombre,Tlaxcala,2.0,2021-01-01
2021,mujer,Tlaxcala,,2021-01-01
2022,hombre,Tlaxcala,2.0,2022-01-01
2022,mujer,Tlaxcala,,2022-01-01
2023,hombre,Tlaxcala,1.0,2023-01-01
2023,mujer,Tlaxcala,,2023-01-01
2024,hombre,Tlaxcala,2.0,2024-01-01
2024,mujer,Tlaxcala,,2024-01-01
2025,hombre,Tlaxcala,,2025-01-01
2025,mujer,Tlaxcala,,2025-01-01
2010,hombre,Veracruz,3.0,2010-01-01
2010,mujer,Veracruz,0.0,2010-01-01
2011,hombre,Veracruz,1.0,2011-01-01
2011,mujer,Veracruz,2.0,2011-01-01
2012,hombre,Veracruz,4.0,2012-01-01
2012,mujer,Veracruz,1.0,2012-01-01
2013,hombre,Veracruz,0.0,2013-01-01
2013,mujer,Veracruz,1.0,2013-01-01
2014,hombre,Veracruz,5.0,2014-01-01
2014,mujer,Veracruz,1.0,2014-01-01
2015,hombre,Veracruz,1.0,2015-01-01
2015,mujer,Veracruz,2.0,2015-01-01
2016,hombre,Veracruz,4.0,2016-01-01
2016,mujer,Veracruz,0.0,2016-01-01
2017,hombre,Veracruz,1.0,2017-01-01
2017,mujer,Veracruz,0.0,2017-01-01
2018,hombre,Veracruz,4.0,2018-01-01
2018,mujer,Veracruz,0.0,2018-01-01
2019,hombre,Veracruz,2.0,2019-01-01
2019,mujer,Veracruz,3.0,2019-01-01
2020,hombre,Veracruz,4.0,2020-01-01
2020,mujer,Veracruz,1.0,2020-01-01
2021,hombre,Veracruz,5.0,2021-01-01
2021,mujer,Veracruz,1.0,2021-01-01
2022,hombre,Veracruz,3.0,2022-01-01
2022,mujer,Veracruz,2.0,2022-01-01
2023,hombre,Veracruz,5.0,2023-01-01
2023,mujer,Veracruz,1.0,2023-01-01
2024,hombre,Veracruz,1.0,2024-01-01
2024,mujer,Veracruz,2.0,2024-01-01
2025,hombre,Veracruz,1.0,2025-01-01
2025,mujer,Veracruz,1.0,2025-01-01
2010,hombre,Yucatán,2.0,2010-01-01
2010,mujer,Yucatán,0.0,2010-01-01
2011,hombre,Yucatán,,2011-01-01
2011,mujer,Yucatán,,2011-01-01
2012,hombre,Yucatán,,2012-01-01
2012,mujer,Yucatán,,2012-01-01
2013,hombre,Yucatán,,2013-01-01
2013,mujer,Yucatán,,2013-01-01
2014,hombre,Yucatán,1.0,2014-01-01
2014,mujer,Yucatán,0.0,2014-01-01
2015,hombre,Yucatán,3.0,2015-01-01
2015,mujer,Yucatán,0.0,2015-01-01
2016,hombre,Yucatán,,2016-01-01
2016,mujer,Yucatán,,2016-01-01
2017,hombre,Yucatán,1.0,2017-01-01
2017,mujer,Yucatán,0.0,2017-01-01
2018,hombre,Yucatán,1.0,2018-01-01
2018,mujer,Yucatán,1.0,2018-01-01
2019,hombre,Yucatán,1.0,2019-01-01
2019,mujer,Yucatán,0.0,2019-01-01
2020,hombre,Yucatán,,2020-01-01
2020,mujer,Yucatán,,2020-01-01
2021,hombre,Yucatán,,2021-01-01
2021,mujer,Yucatán,,2021-01-01
2022,hombre,Yucatán,1.0,2022-01-01
2022,mujer,Yucatán,,2022-01-01
2023,hombre,Yucatán,,2023-01-01
2023,mujer,Yucatán,,2023-01-01
2024,hombre,Yucatán,1.0,2024-01-01
2024,mujer,Yucatán,,2024-01-01
2025,hombre,Yucatán,,2025-01-01
2025,mujer,Yucatán,,2025-01-01
2010,hombre,Zacatecas,,2010-01-01
2010,mujer,Zacatecas,,2010-01-01
2011,hombre,Zacatecas,,2011-01-01
2011,mujer,Zacatecas,,2011-01-01
2012,hombre,Zacatecas,1.0,2012-01-01
2012,mujer,Zacatecas,0.0,2012-01-01
2013,hombre,Zacatecas,2.0,2013-01-01
2013,mujer,Zacatecas,0.0,2013-01-01
2014,hombre,Zacatecas,,2014-01-01
2014,mujer,Zacatecas,,2014-01-01
2015,hombre,Zacatecas,,2015-01-01
2015,mujer,Zacatecas,,2015-01-01
2016,hombre,Zacatecas,1.0,2016-01-01
2016,mujer,Zacatecas,0.0,2016-01-01
2017,hombre,Zacatecas,,2017-01-01
2017,mujer,Zacatecas,,2017-01-01
2018,hombre,Zacatecas,,2018-01-01
2018,mujer,Zacatecas,,2018-01-01
2019,hombre,Zacatecas,,2019-01-01
2019,mujer,Zacatecas,,2019-01-01
2020,hombre,Zacatecas,1.0,2020-01-01
2020,mujer,Zacatecas,,2020-01-01
2021,hombre,Zacatecas,1.0,2021-01-01
2021,mujer,Zacatecas,,2021-01-01
2022,hombre,Zacatecas,,2022-01-01
2022,mujer,Zacatecas,,2022-01-01
2023,hombre,Zacatecas,,2023-01-01
2023,mujer,Zacatecas,1.0,2023-01-01
2024,hombre,Zacatecas,1.0,2024-01-01
2024,mujer,Zacatecas,,2024-01-01
2025,hombre,Zacatecas,,2025-01-01
2025,mujer,Zacatecas,,2025-01-01
2010,hombre,Desconocido,4.0,2010-01-01
2010,mujer,Desconocido,1.0,2010-01-01
2011,hombre,Desconocido,4.0,2011-01-01
2011,mujer,Desconocido,1.0,2011-01-01
2012,hombre,Desconocido,1.0,2012-01-01
2012,mujer,Desconocido,0.0,2012-01-01
2013,hombre,Desconocido,1.0,2013-01-01
2013,mujer,Desconocido,1.0,2013-01-01
2014,hombre,Desconocido,0.0,2014-01-01
2014,mujer,Desconocido,1.0,2014-01-01
2015,hombre,Desconocido,1.0,2015-01-01
2015,mujer,Desconocido,1.0,2015-01-01
2016,hombre,Desconocido,2.0,2016-01-01
2016,mujer,Desconocido,1.0,2016-01-01
2017,hombre,Desconocido,1.0,2017-01-01
2017,mujer,Desconocido,0.0,2017-01-01
2018,hombre,Desconocido,2.0,2018-01-01
2018,mujer,Desconocido,4.0,2018-01-01
2019,hombre,Desconocido,3.0,2019-01-01
2019,mujer,Desconocido,0.0,2019-01-01
2020,hombre,Desconocido,3.0,2020-01-01
2020,mujer,Desconocido,,2020-01-01
2021,hombre,Desconocido,4.0,2021-01-01
2021,mujer,Desconocido,,2021-01-01
2022,hombre,Desconocido,3.0,2022-01-01
2022,mujer,Desconocido,1.0,2022-01-01
2023,hombre,Desconocido,,2023-01-01
2023,mujer,Desconocido,2.0,2023-01-01
2024,hombre,Desconocido,2.0,2024-01-01
2024,mujer,Desconocido,2.0,2024-01-01
2025,hombre,Desconocido,,2025-01-01
2025,mujer,Desconocido,1.0,2025-01-01
